om,yr,mo,dy,date,time,tz,datetime_utc,st,stf,mag,inj,fat,loss,slat,slon,elat,elon,len,wid,ns,sn,f1,f2,f3,f4,fc,victims_total,is_deadly,area_sq_mi,has_loss,season,mag_category,us_region,loss_log10,mag_factor,state_annual_fat_total,state_annual_avg_mag,time_of_day
487,1969,8,6,1969-08-06,19:40:00,America/Chicago,1969-08-07T00:40:00Z,NE,31,0,0,0,10000,41.48,-97.58,0,0,0.1,10,1,1,141,0,0,0,TRUE,0,FALSE,5.681818181818183e-4,TRUE,3,Weak,Midwest,4,0,1,0.85,Night
95,1965,4,4,1965-04-04,22:25:00,America/Chicago,1965-04-05T04:25:00Z,OK,40,0,0,0,10000,36.63,-97.33,0,0,0.1,10,1,1,71,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,2,Weak,South,4,0,0,0.8378378378378378,Night
616297,2018,5,29,2018-05-29,14:58:00,America/Chicago,2018-05-29T19:58:00Z,IA,19,0,0,0,10000,42.0533,-93.5533,42.0576,-93.5542,0.3,30,1,1,169,0,0,0,FALSE,0,FALSE,0.005113636363636363,TRUE,2,Weak,Midwest,4,0,0,0.36231884057971014,Evening
399,1959,6,26,1959-06-26,20:30:00,America/Chicago,1959-06-27T01:30:00Z,TX,48,1,0,0,5000,33.65,-97.15,0,0,0.8,100,1,1,97,0,0,0,FALSE,0,FALSE,0.045454545454545456,TRUE,3,Weak,South,3.6989700043360187,1,6,1.069767441860465,Night
322,1958,7,1,1958-07-01,18:45:00,America/Chicago,1958-07-01T23:45:00Z,NE,31,0,0,0,10000,41.23,-103.32,41.23,-103.32,0.1,10,1,1,33,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,3,Weak,Midwest,4,0,0,0.7222222222222222,Evening
530,1968,8,19,1968-08-19,14:40:00,America/Chicago,1968-08-19T19:40:00Z,MN,27,1,0,0,500000,44.28,-93.1,44.33,-92.73,18.3,60,1,1,131,49,0,0,FALSE,0,FALSE,0.6238636363636363,TRUE,3,Weak,Midwest,5.698970004336019,1,10,0.7647058823529411,Evening
1033,1992,9,5,1992-09-05,17:59:00,America/Chicago,1992-09-05T22:59:00Z,KS,20,2,1,0,50000000,37.7,-97.33,37.7,-97.27,3,200,1,1,173,0,0,0,FALSE,1,FALSE,0.3409090909090909,TRUE,4,Strong,Midwest,7.698970004336019,2,0,0.6847826086956522,Evening
550,1960,8,28,1960-08-28,19:44:00,America/Chicago,1960-08-29T00:44:00Z,KS,20,1,0,0,5000,37.78,-97.42,0,0,0.1,10,1,1,173,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,3,Weak,Midwest,3.6989700043360187,1,1,1.3833333333333333,Night
620404,2021,8,11,2021-08-11,16:40:00,America/Chicago,2021-08-11T21:40:00Z,IA,19,0,0,0,10000,42.4,-90.96,42.4,-90.95,0.6,20,1,1,61,0,0,0,FALSE,0,FALSE,0.006818181818181818,TRUE,3,Weak,Midwest,4,0,0,0.957983193277311,Evening
617274,2019,4,17,2019-04-17,15:29:00,America/Chicago,2019-04-17T20:29:00Z,TX,48,1,0,0,50000,36.0659,-100.0741,36.078,-100.0859,1.06,30,1,1,295,0,0,0,FALSE,0,FALSE,0.018068181818181817,TRUE,2,Weak,South,4.698970004336019,1,2,0.8143712574850299,Evening
619717,2021,3,18,2021-03-18,04:49:00,America/Chicago,2021-03-18T09:49:00Z,AL,1,0,0,0,4000,31.3047,-85.3825,31.3262,-85.3579,2.08,50,1,1,69,67,0,0,FALSE,0,FALSE,0.05909090909090909,TRUE,2,Weak,South,3.6020599913279625,0,7,0.8461538461538461,Morning
177,1979,4,13,1979-04-13,11:35:00,America/Chicago,1979-04-13T17:35:00Z,GA,13,1,1,0,5000000,32.82,-83.65,0,0,4,500,1,1,21,0,0,0,FALSE,1,FALSE,1.1363636363636365,TRUE,2,Weak,South,6.698970004336019,1,0,0.8,Afternoon
617756,2019,5,23,2019-05-23,19:43:00,America/Chicago,2019-05-24T00:43:00Z,TX,48,0,0,0,10000,36.1721,-100.4427,36.2256,-100.3976,4.47,75,1,1,295,0,0,0,FALSE,0,FALSE,0.19048295454545452,TRUE,2,Weak,South,4,0,2,0.8143712574850299,Night
